red=2288, ir=34012, green=578, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.106824
red=2297, ir=33990, green=575, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.123147
red=2312, ir=33991, green=586, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.138669
red=2290, ir=34006, green=577, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.155455
red=2289, ir=34007, green=577, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.169658
red=2307, ir=34011, green=573, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.185222
red=2298, ir=34015, green=568, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.200827
red=2293, ir=33990, green=567, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.215810
red=2286, ir=34009, green=566, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.230256
red=2293, ir=33993, green=565, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.245957
red=2291, ir=34004, green=576, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.261314
red=2294, ir=34009, green=588, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.277647
red=2315, ir=33999, green=566, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.293342
red=2289, ir=33996, green=557, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.310011
red=2303, ir=34007, green=565, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.325418
red=2307, ir=34022, green=580, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.341101
red=2299, ir=33995, green=572, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.356192
red=2305, ir=33996, green=578, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.372162
red=2303, ir=34004, green=563, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.387934
red=2317, ir=33997, green=571, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.403599
