red=121302, ir=128206, green=12308, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.442295
red=121323, ir=128274, green=12339, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.453155
red=121339, ir=128278, green=12358, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.463757
red=121364, ir=128351, green=12383, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.474104
red=121342, ir=128328, green=12383, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.484452
red=121344, ir=128357, green=12402, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.495670
red=121336, ir=128301, green=12389, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.506293
red=121319, ir=128316, green=12378, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.516413
red=121334, ir=128258, green=12386, HR=82, HRvalid=1, SpO2=99, SO2Valid=1  time:3.537453
red=121270, ir=128237, green=12358, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.547834
red=121261, ir=128189, green=12357, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.558805
red=121245, ir=128155, green=12330, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.569072
red=121233, ir=128112, green=12330, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.579271
red=121230, ir=128093, green=12303, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.590149
red=121217, ir=128086, green=12303, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.601063
red=121231, ir=128069, green=12289, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.611338
red=121246, ir=128117, green=12290, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.622001
red=121249, ir=128106, green=12297, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.633137
red=121267, ir=128169, green=12321, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.643256
red=121286, ir=128163, green=12326, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.654219
red=121320, ir=128257, green=12357, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.664602
red=121335, ir=128280, green=12363, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.675270
red=121351, ir=128356, green=12399, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.685795
red=121409, ir=128393, green=12396, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.696021
red=121439, ir=128465, green=12444, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.706719
red=121475, ir=128532, green=12462, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.717724
red=121500, ir=128588, green=12492, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.728210
red=121543, ir=128672, green=12490, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.738387
red=121561, ir=128739, green=12540, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.749877
red=121597, ir=128795, green=12567, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.760634
