ed=2717, ir=40753, green=725, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.281217

ed=2716, ir=40747, green=717, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.292267

ed=2711, ir=40750, green=712, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.304236

red=2702, ir=40761, green=707, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.314064

red=2716, ir=40754, green=699, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.324174

ed=2703, ir=40746, green=707, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.337108

red=2715, ir=40742, green=709, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.347137

red=2709, ir=40748, green=715, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.358134

red=2720, ir=40749, green=714, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.369343

red=2697, ir=40742, green=716, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.380062

ed=2697, ir=40750, green=705, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.391002

ed=2709, ir=40748, green=711, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.432376

red=2736, ir=40755, green=708, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.441842

red=2719, ir=40753, green=720, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.453958

red=2724, ir=40750, green=712, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.463992

red=2695, ir=40756, green=720, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.476584

red=2698, ir=40744, green=710, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.486109

red=2716, ir=40751, green=709, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.497617

red=2700, ir=40759, green=718, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.509021

red=2721, ir=40746, green=728, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.519332

red=2709, ir=40758, green=696, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.530577

red=2711, ir=40755, green=714, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.541193

red=2712, ir=40755, green=718, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.551776

red=2719, ir=40759, green=714, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.562833

red=2720, ir=40755, green=706, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.573682

red=2715, ir=40752, green=689, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.584633

red=2712, ir=40757, green=711, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.595646

red=2710, ir=40754, green=718, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.607339

red=2714, ir=40748, green=711, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.617564

red=2722, ir=40757, green=715, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.628452

red=2716, ir=40748, green=711, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.639427

red=2703, ir=40742, green=711, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.650633

red=2706, ir=40754, green=715, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.661223

red=2717, ir=40747, green=705, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.671574

red=2712, ir=40755, green=712, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.682025

ed=2707, ir=40743, green=700, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.692366

ed=2700, ir=40749, green=722, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.703274

ed=2695, ir=40746, green=733, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.714177

ed=2704, ir=40744, green=714, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.725239

red=2704, ir=40752, green=703, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.735505

ed=2705, ir=40766, green=710, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.746504

red=2722, ir=40769, green=712, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.758793

red=2722, ir=40749, green=706, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.768565

red=2707, ir=40755, green=707, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.778632

red=2700, ir=40755, green=710, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.790442

ed=2709, ir=40753, green=717, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.800497

ed=2718, ir=40746, green=717, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.811380

ed=2723, ir=40750, green=706, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.821812

ed=2707, ir=40742, green=713, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.832627

ed=2718, ir=40753, green=708, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.843596

ed=2730, ir=40742, green=711, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.854596

ed=2723, ir=40750, green=715, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.865744

ed=2716, ir=40743, green=712, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.877192

ed=2719, ir=40758, green=713, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.887516

ed=2712, ir=40751, green=715, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.899309

red=2722, ir=40758, green=719, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.909599

red=2704, ir=40757, green=697, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.920551

red=2727, ir=40746, green=717, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.931135

red=2717, ir=40744, green=731, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.941296

ed=2727, ir=40746, green=710, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.952187

ed=2707, ir=40739, green=720, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.963069

red=2721, ir=40760, green=698, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.974782

red=2713, ir=40761, green=709, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.985361

red=2709, ir=40751, green=714, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.996145

red=2727, ir=40758, green=706, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.007312

red=2721, ir=40753, green=714, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.018193

red=2705, ir=40754, green=714, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.028873

red=2725, ir=40756, green=712, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.039844

red=2700, ir=40767, green=708, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.050339

red=2717, ir=40750, green=717, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.061305

red=2710, ir=40754, green=714, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.073952

red=2713, ir=40753, green=719, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.084169

red=2723, ir=40774, green=709, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.094871

red=2722, ir=40761, green=721, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.105992

red=2704, ir=40735, green=713, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.116789

red=2718, ir=40742, green=699, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.126859

red=2720, ir=40756, green=710, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.137299

red=2710, ir=40757, green=718, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.147752

red=2717, ir=40765, green=705, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.158568

red=2726, ir=40740, green=706, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.169248

red=2719, ir=40745, green=713, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.181212

red=2716, ir=40758, green=734, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.191155

red=2720, ir=40759, green=721, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.201380

red=2718, ir=40733, green=714, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.211714

red=2705, ir=40769, green=728, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.222842

red=2723, ir=40772, green=721, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.233209

red=2728, ir=40758, green=706, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.244577

red=2713, ir=40756, green=709, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.254890

red=2724, ir=40763, green=710, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.266569

red=2718, ir=40749, green=700, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.277281

red=2709, ir=40743, green=713, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.287344

red=2722, ir=40743, green=714, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.298264

red=2708, ir=40763, green=720, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.308952

red=2710, ir=40753, green=710, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.320934

red=2715, ir=40751, green=716, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.331111

red=2711, ir=40751, green=716, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.342380

red=2711, ir=40750, green=713, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.353500

red=2720, ir=40753, green=716, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.363911

red=2723, ir=40774, green=716, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.374800

red=2719, ir=40774, green=705, HR=352, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.385893

red=2712, ir=40749, green=721, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.385893

